label,n_A,lotA,n_A_sh,n_B,lotB,n_B_sh,imb,span_cap,net_pnl,n_trades,win_rate
TCS/INFY,3,150,450,3,300,900,0.4,393466,267117.46,49,57.1
NTPC/POWERGRID,5,3250,16250,9,2100,18900,0.2,1668946,-331937.52999999997,17,41.2
BAJAJFINSV/BAJFINANCE,4,500,2000,33,125,4125,0.2,1176021,20820.420000000042,30,40.0
HDFCBANK/KOTAKBANK,10,550,5500,31,400,12400,0.1,1522031,3165948.61,46,78.3
HINDUNILVR/DABUR,10,300,3000,13,1250,16250,0.4,2258793,7301867.2700000005,90,71.1
OBEROIRLTY/BRIGADE,9,800,7200,14,1000,14000,1.5,3167373,14264786.01,93,80.6
TATAPOWER/JSWENERGY,8,4950,39600,13,2000,26000,0.1,4340141,8580881.640000002,89,56.2
TECHM/COFORGE,8,600,4800,19,200,3800,0.8,2000590,5058477.959999999,66,63.6
EICHERMOT/TVSMOTORS,7,200,1400,6,350,2100,0.9,2504630,4491929.97,59,66.1
HDFCLIFE/ICICIPRULI,3,1100,3300,2,1500,3000,0.6,549715,1201965.07,33,69.7
SRF/DEEPAKNTR,10,250,2500,7,350,2450,1.4,1681310,3513143.94,31,80.6
