label,recalibrated,lookback,entry_z,stop_z,annual_stop,n_A,lotA,n_A_sh,n_B,lotB,n_B_sh,imb,span_cap,net_pnl,sharpe,cagr,maxdd,n_trades,win_rate
TCS/INFY,False,126,2.0,3.5,58000,3,150,450,3,300,900,0.4,393466,267117.46,0.27,4.9,-51.67,49,57.1
BAJAJFINSV/BAJFINANCE,True,166,2.5,3.0,209295,4,500,2000,33,125,4125,0.2,1176021,810907.96,0.504,5.4,-8.38,43,51.2
HDFCBANK/KOTAKBANK,False,113,2.0,4.0,393340,10,550,5500,31,400,12400,0.1,1522031,3165948.61,0.723,10.9,-17.17,46,78.3
HINDUNILVR/DABUR,False,67,1.5,4.0,508632,10,300,3000,13,1250,16250,0.4,2258793,7301867.2700000005,0.847,13.96,-35.51,90,71.1
OBEROIRLTY/BRIGADE,False,92,1.5,3.5,1137471,9,800,7200,14,1000,14000,1.5,3167373,14264786.01,1.003,16.84,-14.16,93,80.6
TATAPOWER/JSWENERGY,False,76,2.0,3.0,1211814,8,4950,39600,13,2000,26000,0.1,4340141,8580881.640000002,0.445,10.32,-35.47,89,56.2
TECHM/COFORGE,False,140,1.5,3.5,501534,8,600,4800,19,200,3800,0.8,2000590,5058477.959999999,0.694,13.49,-21.67,66,63.6
EICHERMOT/TVSMOTORS,False,129,1.5,4.0,554023,7,200,1400,6,350,2100,0.9,2504630,4491929.97,0.602,9.85,-41.35,59,66.1
HDFCLIFE/ICICIPRULI,False,87,2.0,4.0,223222,3,1100,3300,2,1500,3000,0.6,549715,1201965.07,0.825,20.73,-26.37,33,69.7
SRF/DEEPAKNTR,False,151,2.0,4.0,1052772,10,250,2500,7,350,2450,1.4,1681310,3513143.94,0.657,14.54,-48.94,31,80.6
