year,pnl,max_cap,dep_pct,ret_maxcap,maxdd_maxcap,avg_util_pct,n_active
2015,1454907,2375537,58.6,61.25,-6.62,52.3,6
2016,548988,3634127,94.3,15.11,-29.66,42.0,9
2017,1498384,3642338,95.4,41.14,-11.51,62.7,9
2018,5865495,4241368,93.9,138.29,-14.3,51.5,10
2019,2203680,5799435,92.7,38.0,-18.29,44.0,10
2020,3112183,5976206,86.3,52.08,-14.02,43.3,10
2021,4305732,7268827,92.0,59.24,-28.95,53.9,10
2022,7062109,9973739,95.0,70.81,-7.64,37.8,10
2023,7658738,13155342,93.8,58.22,-6.75,39.3,10
2024,11738310,15952947,89.7,73.58,-20.09,48.4,10
2025,2408771,12173103,88.1,19.79,-4.42,43.4,8
2026,799729,12983890,92.4,6.16,-9.63,45.4,8
