entry_date,exit_date,hold_days,direction,entry_z,exit_z,exit_reason,entry_pa,exit_pa,entry_pb,exit_pb,pnl_a,pnl_b,cost,net_pnl
2024-09-20,2024-10-04,9,ShortHDFC-LongKOTAK,1.799,0.314,reversion,868.6,830.63,381.86,362.6,20883.5,-7704.0,431.99,12747.51
2024-10-10,2024-10-16,4,LongHDFC-ShortKOTAK,-1.688,0.07,reversion,830.5,850.25,374.0,373.98,10862.5,8.0,428.81,10441.69
2024-10-21,2024-10-22,1,ShortHDFC-LongKOTAK,3.952,3.55,stop-loss,862.0,856.55,356.5,353.41,2997.5,-1236.0,430.3,1331.2
2024-10-22,2024-10-23,1,ShortHDFC-LongKOTAK,3.55,3.981,stop-loss,856.55,868.1,353.41,353.19,-6352.5,-88.0,430.6,-6871.1
2024-10-23,2024-10-24,1,ShortHDFC-LongKOTAK,3.981,3.922,stop-loss,868.1,875.25,353.19,353.0,-3932.5,-76.0,434.26,-4442.76
2024-10-24,2024-10-25,1,ShortHDFC-LongKOTAK,3.922,3.174,stop-loss,875.25,872.9,353.0,354.0,1292.5,400.0,435.58,1256.92
2024-10-25,2024-11-13,12,ShortHDFC-LongKOTAK,3.174,0.351,reversion,872.9,844.08,354.0,338.7,15851.0,-6120.0,427.98,9303.02
2024-11-25,2024-12-20,19,ShortHDFC-LongKOTAK,1.755,0.235,reversion,889.05,888.55,358.4,349.74,275.0,-3464.0,441.17,-3630.17
2025-01-10,2025-01-29,13,LongHDFC-ShortKOTAK,-1.849,-0.35,reversion,828.5,838.0,351.9,384.58,5225.0,-13072.0,423.52,-8270.52
2025-03-20,2025-04-01,7,ShortHDFC-LongKOTAK,1.733,-0.053,reversion,883.3,884.95,406.6,428.86,-907.5,8904.0,457.75,7538.75
2025-04-15,2025-04-16,1,ShortHDFC-LongKOTAK,3.707,3.72,stop-loss,932.8,937.95,424.8,424.32,-2832.5,-192.0,478.84,-3503.34
2025-04-16,2025-04-17,1,ShortHDFC-LongKOTAK,3.72,3.138,stop-loss,937.95,952.9,424.32,437.02,-8222.5,5080.0,484.42,-3626.92
2025-04-17,2025-05-05,10,ShortHDFC-LongKOTAK,3.138,4.511,stop-loss,952.9,967.9,437.02,417.0,-8250.0,-8008.0,488.5,-16746.5
2025-05-05,2025-05-06,1,ShortHDFC-LongKOTAK,4.511,3.946,stop-loss,967.9,964.3,417.0,414.0,1980.0,-1200.0,488.33,291.67
2025-05-06,2025-05-07,1,ShortHDFC-LongKOTAK,3.946,3.374,stop-loss,964.3,972.5,414.0,420.0,-4510.0,2400.0,489.49,-2599.49
2025-05-07,2025-07-18,52,ShortHDFC-LongKOTAK,3.374,0.259,reversion,972.5,978.0,420.0,426.4,-3025.0,2560.0,493.94,-958.94
2025-07-21,2025-07-28,5,ShortHDFC-LongKOTAK,1.558,4.255,stop-loss,1000.75,1004.95,432.9,393.74,-2310.0,-15664.0,500.93,-18474.93
2025-07-28,2025-07-29,1,ShortHDFC-LongKOTAK,4.255,3.913,stop-loss,1004.95,1011.6,393.74,394.04,-3657.5,120.0,498.3,-4035.8
2025-07-29,2025-07-30,1,ShortHDFC-LongKOTAK,3.913,3.35,stop-loss,1011.6,1012.25,394.04,391.84,-357.5,-880.0,499.55,-1737.05
2025-07-30,2025-08-08,7,ShortHDFC-LongKOTAK,3.35,0.238,reversion,1012.25,986.0,391.84,390.5,14437.5,-536.0,494.89,13406.61
2025-08-28,2025-10-07,27,LongHDFC-ShortKOTAK,-2.074,-0.424,reversion,960.2,981.8,389.58,425.2,11880.0,-14248.0,487.79,-2855.79
2025-11-20,2025-12-02,8,ShortHDFC-LongKOTAK,2.181,-0.17,reversion,1008.6,991.0,419.6,428.72,9680.0,3648.0,504.35,12823.65
2025-12-18,2025-12-23,3,LongHDFC-ShortKOTAK,-1.622,0.055,reversion,980.0,997.0,433.4,432.26,9350.0,456.0,502.26,9303.74
2026-01-05,2026-01-06,1,LongHDFC-ShortKOTAK,-1.858,-3.353,stop-loss,978.5,962.95,438.46,428.46,-8552.5,4000.0,494.87,-5047.37
2026-01-06,2026-01-07,1,LongHDFC-ShortKOTAK,-3.353,-4.523,stop-loss,962.95,950.25,428.46,429.2,-6985.0,-296.0,488.0,-7769.0
2026-01-07,2026-01-08,1,LongHDFC-ShortKOTAK,-4.523,-4.07,stop-loss,950.25,948.0,429.2,426.0,-1237.5,1280.0,485.14,-442.64
2026-01-08,2026-01-09,1,LongHDFC-ShortKOTAK,-4.07,-4.362,stop-loss,948.0,939.0,426.0,425.58,-4950.0,168.0,482.23,-5264.23
2026-01-09,2026-01-12,1,LongHDFC-ShortKOTAK,-4.362,-4.026,stop-loss,939.0,936.55,425.58,426.8,-1347.5,-488.0,480.28,-2315.78
2026-01-12,2026-01-13,1,LongHDFC-ShortKOTAK,-4.026,-3.671,stop-loss,936.55,934.75,426.8,426.4,-990.0,160.0,479.63,-1309.63
2026-01-13,2026-01-14,1,LongHDFC-ShortKOTAK,-3.671,-3.795,stop-loss,934.75,925.0,426.4,420.3,-5362.5,2440.0,476.39,-3398.89
2026-01-14,2026-01-16,1,LongHDFC-ShortKOTAK,-3.795,-3.007,stop-loss,925.0,930.55,420.3,418.7,3052.5,640.0,474.84,3217.66
2026-01-16,2026-01-19,1,LongHDFC-ShortKOTAK,-3.007,-3.225,stop-loss,930.55,925.65,418.7,427.4,-2695.0,-3480.0,475.46,-6650.46
2026-01-19,2026-02-04,12,LongHDFC-ShortKOTAK,-3.225,-0.284,reversion,925.65,949.0,427.4,412.0,12842.5,6160.0,479.34,18523.16
2026-02-10,2026-03-09,18,LongHDFC-ShortKOTAK,-1.651,0.237,reversion,932.6,839.1,428.45,386.05,-51425.0,16960.0,453.36,-34918.36
2026-03-16,2026-04-06,12,ShortHDFC-LongKOTAK,1.515,-0.112,reversion,838.8,770.5,369.4,359.65,37565.0,-3900.0,413.54,33251.46
2026-04-29,2026-05-06,4,LongHDFC-ShortKOTAK,-1.963,-0.476,reversion,778.3,796.0,382.0,377.15,9735.0,1940.0,409.92,11265.08
2026-05-08,2026-05-27,13,LongHDFC-ShortKOTAK,-1.534,-2.254,end-of-data,781.25,759.25,381.0,389.4,-12100.0,-3360.0,403.63,-15863.63
